"File","Header","Footer","Logo","MainNav","Contact","Phone","FooterLinks"
"pages\about-blog-how-to-connect-with-your-customers-and-form-lasting-relationships.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-how-to-earn-the-trust-of-your-customers.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-how-to-get-a-higher-roi-on-your-advertising.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-how-to-get-the-exposure-you-need-for-your-website.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-how-to-make-content-your-customers-will-be-excited-to-read.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-how-to-market-your-restaurant-on-social-media.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-how-to-turn-your-law-practice-into-a-household-name-locally.html","YES","YES","YES","YES","YES","NO","YES"
"pages\about-blog-how-to-turn-your-leads-into-reliable-customers.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-how-your-company-can-dominate-a-keyword-on-google.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-i-have-a-business-website-now-what.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-is-wordpress-really-the-best-for-your-business.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-local-seo-best-practices-for-2019-12-things-you-must-know.html","YES","YES","YES","YES","YES","NO","YES"
"pages\about-blog-marketing-channels-you-can-t-ignore.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-marketing-strategies-you-should-be-using-more.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-online-video-platforms-every-business-should-be-using.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-personalize-your-website-and-increase-your-business-with-insite.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-responsive-websites-success.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-signs-that-your-business-is-stuck-in-the-past.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-the-battle-of-the-ads-google-vs-bing.html","YES","YES","YES","YES","YES","NO","YES"
"pages\about-blog-the-importance-of-social-media-for-your-business.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-tips-for-encouraging-people-to-return-to-your-website.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-website-features-you-can-t-be-without.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-website-personalization-and-why-is-it-so-important.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-what-customers-value-most-in-a-business.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-what-is-seo-and-why-does-it-matter.html","YES","YES","YES","YES","YES","NO","YES"
"pages\about-blog-what-to-know-before-you-partner-with-another-business-to-offer-deals.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-what-types-of-outdoor-advertising-should-you-be-using.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-what-you-need-to-keep-in-mind-when-building-a-new-website.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-why-email-marketing-is-still-important.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-why-java-is-the-language-to-learn-for-digital-marketers.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-why-you-need-to-be-an-expert-in-digital-marketing.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-faq.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-how-to-videos.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-login.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-360-sales-advantage.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-a-breed-apart-papillons.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-a-california-driving-school.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-a-dog-s-day-out.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-a-pup-s-valley.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-abdul-electric.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-absolute-home-care.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-absolute-pest-control-services.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-ace-pet-services.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-aces-driving-school.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-advanced-business-systems.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-aid-the-children.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-air-techs-hvac.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-all-concrete-works-landscaping.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-all-go-transportation.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-all-star-pizza.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-alta-partners.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-american-sewer.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-andree-hudson-art.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-apex-denver-locksmith.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-ariana-waterfall.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-aspire-counseling.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-aspire-hope-for-kids.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-atlee-care.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-axel-medical-transportation.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-ay-home-health-care.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-barbarians-cave-surf.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-barner-moving.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-bayou-solar.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-beltway-home-inspections.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-benefits-matter.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-board-game-republic.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-brick-house-salon.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-bruno-jambor.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-budget-control-services.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-building-better-transit.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-callahan-hayes.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-carie-s-posing-suits.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-cass-and-company-salon.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-castle-rock.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-century-tire-inc.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-christy-root-designs.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-chutney-indian-cuisine.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-coastal-homes.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-college-planning-coach.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-colorado-creditor-bar-association.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-cowest-durango.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-cowest-insurance-group.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-cowest-insurance-service.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-crest-pest-control.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-ct-gasket.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-curved-glass-creations.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-d-and-d-machinery-movers.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-dads-of-parker.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-deannas-papillons.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-dental-arts.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-dental-sleep-medicine-cranio-facial-pain.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-dental-sleep-medicine.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-denver-issa.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-denver-s-best-heating.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-denver-sign-factory.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-denver-towing.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-desert-empire.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-dominion-craftsman-services.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-driving-instructor-classes.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-dss-by-kat.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-dww.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-e-sports-foundation.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-ebony-equines.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-ed-prevost.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-edmotnton-heritage-festival.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-einstein-plumbing.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-emergency-locksmith-denver.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-empathy-care.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-epic-ivy.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-epleyer.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-esports-epleyer.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-evans-legal-group.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-express-shipping-room-supply.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-extreme-autoworks.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-finding-the-fantastic.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-fine-arts-movement.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-firm-group.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-fr-bumper-solutions.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-frameless-shower-door.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-front-range-dentures.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-future-grasp.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-g-g-driving-school.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-gangle-law-firm.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-genius-coaching.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-ghost-town-fitness.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-glass-act.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-good-water.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-granite-state-labradoodles.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-great-escape.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-great-west-restoration-colorado-agent.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-grin-barrett-charity-ride.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-has-tag-lab.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-haveli-indian-cuisine.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-hebert-investigations.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-heritage-roofing.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-hi-dessert-egg.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-home-pro-chesapeake.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-homeland-driving-school-cavco-enterprises-inc.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-housesketch.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-houston-energy-systems.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-humbold-couty-fair.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-hydro-dynamics.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-idt.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-implant-excellence.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-inland-valley-driving-school.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-inquiz-inspections.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-insightifi.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-integration-design.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-ironside-capital.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-island-slider-guy.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-jack-lewis.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-jk-hatcher-homes.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-karma-tour-hawaii.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-kasco-hvac.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-kenyon-homecare-consulting.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-kinetico-denver.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-kramarz-law.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-lake-elsinore-driving-school.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-liberty-lake-smile-source.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-light-of-mine.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-linda-wang.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-little-caesars-pueblo.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-lower-lake-ranch.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-m-communications.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-manor-house-apartments.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-master-craft.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-mdt-transit.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-meadow-hills.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-meditouch.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-mehak-denver.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-mehak-india-s-aroma.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-menifee-driving-school.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-midwest-appliance-and-hvac.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-mile-high-books.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-mindful-minds-psychiatry.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-mississippi-valley-fair.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-miyazaki-dental.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-molly-mulligan.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-mountain-peak-law-group-llc.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-mountain-west-law-group.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-mrad.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-murrieta-driving-school.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-niagra-designs.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-nirvana-indian-cuisine.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-nola-water.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-obairagency.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-okunade.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-onestop-home-health-care.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-optimal-homecare.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-optimal-hospice.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-palm-bay-power-equipment.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-pantera-homes.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-parking-payment-validation-reservations.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-parkingboxx.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-partner-forces.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-paw-power-agility-equipment.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-peace-of-mind-pest-services.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-peakview-dental.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-perthes.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-pest-magic.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-phase-contracting.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-photophobic-society-of-america.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-platinum-registration.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-pompano-glass.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-pork-chop-s-truck-and-auto.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-pride-swagger.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-prosthoodontic-dentures.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-redline-construction.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-roof-ready.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-roots-brew.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-rostron-dental.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-sage-restaurant.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-salinas-valley-fair.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-signal-driving-traffic-schools.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-skin-care-essentials.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-smart-cell-phone-parts.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-smart-wireless-parts.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-southhall-investments.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-speak-clear-communications.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-spector-law.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-spring-fresh.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-stanleyview-home-care.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-stephanie-ascari.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-style-savy-designs.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-sukoon.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-summit-graphics.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-sunday-driving-school.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-superior-showers.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-sushi-co.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-tadka-indian-cuisine.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-tala-wellness.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-temecula-driving-school.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-the-executive-center.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-the-point.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-the-smilist.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-thompson-water-media.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-tipping-hat.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-total-wellness-group.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-treasure-valley-driving-school.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-trevey.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-tropical-remodel-solutions.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-turf-magic.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-us-green.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-vacation-rentals.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-vi-talderm-md.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-vip-driving-schools.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-wake-heating-and-air.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-washington-dental.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-way-cool-gaming.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-winston-c-throgmorton.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-your-college-planning-coach.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-yuma-airshow.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-z-xg.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-zaika-broomfield.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-zaika-castle-rock.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-zaika-colorado-springs.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-zaika-express.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-zaika-indian-cuisine.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio-zaika-littleton.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-portfolio.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-dashboard-and-account-overview-account-dashboard.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-dashboard-and-account-overview-account-settings.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-dashboard-and-account-overview-export-site-list-to-csv.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-dashboard-and-account-overview-save-views-of-site-list.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-dashboard-and-account-overview-site-dashboard-site-audit.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-dashboard-and-account-overview-site-dashboard.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-bookings-bookings-overview.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-bookings-manage-bookings.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-bookings-set-up-bookings.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-customer-management-abandoned-carts-in-native-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-customer-management-native-store-emails.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-customer-management-site-contacts-in-native-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-payment-taxes-and-orders-orders-in-native-store.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-website-knowledge-base-native-ecommerce-payment-taxes-and-orders-payment-in-native-store.html","YES","YES","YES","YES","YES","NO","NO"
